Row Labels,Sum of 2017,Sum of 2016
Belize,16479000,16594000
Bolivia,829687000,770456000
Brazil,16389947000,16254592000
Colombia,9520081000,9515722000
Costa Rica,788228000,736039000
Dominica,32802000,24021000
Dominican Republic,922802000,933021000
Ecuador,399165000,245800000
El Salvador,906440000,912264000
Guatemala,1555282000,1679137000
Guyana,35563000,25005000
Haiti,0,0
Honduras,984682000,940247000
Jamaica,862037000,809074000
Mexico,14887337000,14655779000
Nicaragua,594871000,531337000
Paraguay,604548000,543507000
Peru,1093459000,2610014000
St. Kitts and Nevis,,
St. Lucia,85612000,79490000
"Venezuela, RB",0,0
(blank),,
Grand Total,50509022000,51282099000
